DESTINATION_AIRPORT,MEAN_ARRIVAL_DELAY_PREDICT,RMSE
ABE,3.6757772842809655,15.392210570830807
ABI,1.117640857100722,17.915770792074838
ABQ,4.478833159368702,7.857112830865779
ABR,-0.19803912173098184,20.982907559009604
ABY,11.789881520064556,26.851067418263703
ACT,0.5527642569557113,17.45180904454929
ACV,11.10182478381328,21.589628518069052
ACY,4.2534243200630675,16.392999658904817
ADK,-3.7016520894071925,25.88481543079142
AEX,4.957069099356139,14.044069030655558
AGS,4.6998530306224575,16.271672659876835
ALB,0.6094072274709601,11.117293209432507
ALO,0.1290588832855635,33.41413600122614
AMA,3.7275294230263576,11.587917842761215
ANC,-1.3188044808037849,9.79248787500237
APN,-1.113959312031679,39.35291852455194
ASE,19.063996177657717,30.638756212069765
ATL,1.7901334595447398,14.136215795911179
ATW,2.5616165892488274,14.96159021641514
AUS,6.249011615436366,15.004466500179863
AVL,9.255206592398379,25.667123196258256
AVP,2.4180295171220716,18.22106814210214
AZO,-4.557246503227574,14.671021315238216
BDL,1.9782134576408643,8.066025552661063
BET,5.3763171452260785,20.557301309308414
BFL,1.2070221004193789,13.619293840568327
BHM,3.3529181317246928,10.286012398243741
BIL,-0.29173793213275695,12.151881025320177
BIS,-2.2366495755544737,10.109142130065424
BJI,-4.116279069767442,38.5959185730791
BLI,-6.934508919082421,20.38608889663202
BMI,-0.998124169025262,15.905860706426799
BNA,1.8146421774880854,7.574520508832933
BOI,4.587479962122212,7.743497688653166
BOS,1.6473681907206743,11.891528492002433
BPT,12.163967254826566,33.082263264545475
BQK,8.66985834207765,22.76957438992341
BQN,10.882679738562091,19.57916772330281
BRD,-12.322071083808687,36.5367152545044
BRO,-1.238777961295923,14.770902103128288
BRW,-0.8371208197372283,19.57541071378337
BTM,3.8534402680556012,30.821061815008022
BTR,6.109522124945723,13.494579470249969
BTV,4.731303982879469,18.155008270113548
BUF,0.7885751694446186,7.291465326252103
BUR,3.2856066791611274,6.716494493345544
BWI,0.3361985862462704,7.894809217291496
BZN,-0.11199776679094192,18.436681036060296
CAE,8.258076867937387,14.914401795762577
CAK,1.0200585368315327,11.6837080355581
CDC,9.48805479861137,19.82455048209065
CEC,1.988421052631579,29.170088584964194
CHA,6.116168983352776,13.927038559850233
CHO,7.519045160059239,26.3100624093258
CHS,1.5262914355646822,9.321262814552782
CID,1.3688928007151266,13.526149569303664
CIU,-2.4416368895695078,23.150285619892802
CLD,3.6746458798754076,16.61837085668747
CLE,-0.4802815290484417,8.20169603272433
CLL,-3.375628117208829,11.330372265656242
CLT,-0.5127266382511056,5.831348959349041
CMH,0.10818984668141025,8.172482443257572
CMI,-4.771180932410269,18.7564756523278
CMX,0.17061451935684238,24.696822911645437
CNY,-9.86,14.76549012481429
COD,0.8857394244703611,18.384594535891136
COS,7.770213399366498,13.644246287749283
COU,-2.4078275151576563,17.456181448126365
CPR,-4.047840869368536,13.640063819510669
